City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,2.9,87,100,5.08,SJ,2023-10-22 21:31:32
1,yulinshi,38.2906,109.7494,11.32,45,95,2.29,CN,2023-10-22 21:31:09
2,rio verde,21.9333,-99.9833,29.83,42,85,6.21,MX,2023-10-22 21:31:33
3,grootfontein,-19.5667,18.1167,24.76,11,0,2.06,NA,2023-10-22 21:31:33
4,visakhapatnam,17.69,83.2093,25.94,53,40,3.6,IN,2023-10-22 21:31:33
5,rio grande,-32.035,-52.0986,20.06,98,100,7.87,BR,2023-10-22 21:30:31
6,grytviken,-54.2811,-36.5092,0.52,76,18,5.74,GS,2023-10-22 21:31:33
7,pevely,38.2834,-90.3951,21.5,47,14,2.12,US,2023-10-22 21:31:33
8,lazaro cardenas,17.9583,-102.2,28.27,76,78,1.82,MX,2023-10-22 21:31:33
9,ploneour-lanvern,47.9,-4.2833,12.16,93,40,2.57,FR,2023-10-22 21:31:34
10,polyarnyy,69.1989,33.4478,0.56,76,98,8.17,RU,2023-10-22 21:31:34
11,khandyga,62.6667,135.6,-15.65,100,98,1.13,RU,2023-10-22 21:31:34
12,port mathurin,-19.6833,63.4167,24.32,81,11,5.03,MU,2023-10-22 21:31:34
13,albany,42.6001,-73.9662,8.43,73,100,0.45,US,2023-10-22 21:27:07
14,tadine,-21.55,167.8833,23.41,67,95,7.02,NC,2023-10-22 21:31:35
15,ust-nera,64.5667,143.2,-11.72,98,100,0.66,RU,2023-10-22 21:31:35
16,thompson,55.7435,-97.8558,0.09,74,75,4.63,CA,2023-10-22 21:31:35
17,likiep,9.8251,169.3107,28.29,78,100,6.4,MH,2023-10-22 21:31:35
18,port-aux-francais,-49.35,70.2167,2.46,66,51,14.56,TF,2023-10-22 21:31:35
19,carnarvon,-24.8667,113.6333,18.57,77,0,8.51,AU,2023-10-22 21:31:36
20,new norfolk,-42.7826,147.0587,14.95,92,87,1.48,AU,2023-10-22 21:31:36
21,peto,20.1333,-88.9167,33.08,32,79,1.3,MX,2023-10-22 21:31:36
22,adamstown,-25.066,-130.1015,23.22,75,16,4.98,PN,2023-10-22 21:31:36
23,bredasdorp,-34.5322,20.0403,13.33,83,73,1.79,ZA,2023-10-22 21:31:36
24,asubulaq,49.5583,83.0558,9.62,76,100,4.75,KZ,2023-10-22 21:31:36
25,puerto ayora,-0.7393,-90.3518,27.98,82,81,4.52,EC,2023-10-22 21:31:37
26,motueka,-41.1333,173.0167,13.2,72,89,2.17,NZ,2023-10-22 21:31:37
27,waitangi,-43.9535,-176.5597,10.46,63,84,2.24,NZ,2023-10-22 21:31:37
28,bethel,41.3712,-73.414,11.49,62,100,5.66,US,2023-10-22 21:31:37
29,dauphin,51.1494,-100.0502,13.08,54,40,3.6,CA,2023-10-22 21:31:37
30,kingston,17.997,-76.7936,30.53,79,20,3.09,JM,2023-10-22 21:31:37
31,egilsstadir,65.2653,-14.3948,2.95,93,100,3.09,IS,2023-10-22 21:31:38
32,lerwick,60.1545,-1.1494,10.0,78,99,5.54,GB,2023-10-22 21:31:38
33,east london,-33.0153,27.9116,15.54,69,50,3.92,ZA,2023-10-22 21:30:39
34,ta'if,21.2703,40.4158,20.56,26,0,6.64,SA,2023-10-22 21:28:39
35,trairi,-3.2778,-39.2689,25.8,81,40,5.05,BR,2023-10-22 21:31:38
36,ruteng,-8.6136,120.4721,16.34,84,7,0.76,ID,2023-10-22 21:31:38
37,mahdia,35.5047,11.0622,23.97,78,6,5.54,TN,2023-10-22 21:31:39
38,sirjan,29.452,55.6814,16.05,22,72,1.12,IR,2023-10-22 21:31:39
39,mtwara,-10.2667,40.1833,24.87,79,6,3.37,TZ,2023-10-22 21:31:39
40,remire-montjoly,4.9167,-52.2667,30.02,74,0,4.12,GF,2023-10-22 21:31:39
41,sfax,34.7406,10.7603,25.08,78,0,4.12,TN,2023-10-22 21:31:39
42,blackmans bay,-43.0167,147.3167,14.29,82,81,0.89,AU,2023-10-22 21:31:39
43,margaret river,-33.95,115.0667,12.86,58,98,5.64,AU,2023-10-22 21:31:40
44,arteche,12.2645,125.4048,26.39,85,100,1.59,PH,2023-10-22 21:31:40
45,hermanus,-34.4187,19.2345,14.96,81,79,4.65,ZA,2023-10-22 21:31:40
46,san mariano,7.5,126.0,22.92,93,15,1.03,PH,2023-10-22 21:31:40
47,paita,-5.0892,-81.1144,23.23,75,21,7.04,PE,2023-10-22 21:27:28
48,lospalos,-8.5186,127.0025,22.22,87,25,0.96,TL,2023-10-22 21:31:41
49,vilyuchinsk,52.9306,158.4028,1.15,75,99,1.47,RU,2023-10-22 21:31:41
50,ebon,4.582,168.6964,28.4,73,89,0.67,MH,2023-10-22 21:31:41
51,avanigadda,16.0215,80.9181,22.75,73,100,2.06,IN,2023-10-22 21:31:41
52,port blair,11.6667,92.75,24.02,100,40,0.0,IN,2023-10-22 21:31:41
53,edinburgh of the seven seas,-37.0676,-12.3116,12.62,81,46,5.44,SH,2023-10-22 21:31:42
54,colonia,50.9333,6.95,13.25,90,75,2.57,DE,2023-10-22 21:31:42
55,novhorodka,48.3651,32.6578,17.5,74,95,4.21,UA,2023-10-22 21:31:42
56,ribeira grande,38.5167,-28.7,17.22,77,20,3.09,PT,2023-10-22 21:31:42
57,katabu,-4.9333,122.5167,23.94,92,12,1.44,ID,2023-10-22 21:31:42
58,toliara,-23.35,43.6667,22.67,73,57,1.85,MG,2023-10-22 21:31:43
59,puerto natales,-51.7236,-72.4875,8.98,75,15,2.6,CL,2023-10-22 21:31:43
60,ouadda,8.0777,22.4007,22.2,67,1,1.31,CF,2023-10-22 21:31:43
61,moose jaw,50.4001,-105.5344,12.15,43,75,2.57,CA,2023-10-22 21:31:43
62,adamovka,51.5223,59.9396,-0.75,76,7,4.95,RU,2023-10-22 21:31:43
63,al mishkhab,31.8042,44.4911,25.06,29,66,2.08,IQ,2023-10-22 21:28:52
64,papatowai,-46.5619,169.4708,11.37,59,27,2.4,NZ,2023-10-22 21:31:44
65,vieux fort,13.7167,-60.95,29.64,86,40,4.12,LC,2023-10-22 21:31:44
66,al hasakah,36.5024,40.7477,22.45,34,55,2.17,SY,2023-10-22 21:31:45
67,as sulayyil,20.4607,45.5779,26.14,26,1,3.2,SA,2023-10-22 21:31:45
68,cadale,2.7603,46.3222,26.89,81,22,5.45,SO,2023-10-22 21:31:45
69,nuuk,64.1835,-51.7216,-1.66,59,12,4.63,GL,2023-10-22 21:31:45
70,kayangel,8.0823,134.7173,28.61,75,36,2.48,PW,2023-10-22 21:31:45
71,stanley,54.868,-1.6985,3.77,96,0,1.03,GB,2023-10-22 21:31:45
